"Local_1" "Local_2" "Local_3" "Local_4" "Local_5" "Local_6" "Local_7"
100.221 59.608 79.535 145.324 79.559 129.782 57.594
133.402 70.129 115.392 141.856 70.156 126.618 58.3
108.673 70.522 91.832 149.292 79.811 120.29 53.974
104.834 78.689 102.615 103.484 89.969 54.374 60.02
94.618 80.439 85.594 133.5 85.065 82.56 56.913
75.167 80.391 141.664 122.118 99.182 75.387 45.334
80.285 85.103 183.379 96.489 90.585 63.105 54.322
80.427 73.323 88.667 104.182 79.712 115.159 47.081
78.76 62.024 84.386 117.38 64.275 73.872 64.982
82.73 60.094 108.258 129.987 122.927 109.543 60.979
71.964 118.236 96.768 89.218 97.418 114.075 75.727
64.215 110.505 135.581 112.956 93.99 98.891 49.383
73.008 110.768 121.03 111.073 111.106 73.311 58.887
71.012 134.78 110.361 129.727 94.222 54.163 58.733
70.466 119.312 160.451 137.831 75.433 72.803 53.337
62.325 101.598 154.9 83.809 59.461 62.197 66.232
69.451 118.949 84.947 102.071 74.251 82.816 51.876
60.677 100.305 95.255 140.806 64.422 59.435 54.507
62.012 108.493 136.407 112.061 76.734 71.733 50.28
40.497 96.471 161.471 99.441 86.296 56.345 50.729
98.995 107.201 208.771 135.157 86.348 110.671 79.661
106.055 105.951 212.287 81.556 67.743 69.234 83.713
100.976 85.386 149.504 90.567 72.996 105.22 83.291
108.817 116.853 159.508 90.345 78.467 97.681 64.806
98.66 104.711 149.349 83.841 61.143 78.564 58.632
93.669 86.864 153.205 100.718 57.531 73.305 78.702
75.664 92.198 147.996 100.68 85.085 65.215 82.727
101.685 88.075 132.577 87.307 71.118 75.247 88.902
103.07 107.444 132.794 71.968 70.11 65.179 82.67
83.046 102.904 171.494 97.779 63.615 118.341 76.458
82.105 109.973 130.941 77.6 75.034 84.979 68.023
94.695 107.648 137.894 71.417 82.22 54.512 57.063
76.572 87.189 119.388 63.238 78.132 128.049 48.441
76.363 99.52 103.523 68.166 76.431 129.615 60.858
71.286 107.587 144.383 77.335 65.768 125.492 57.86
67.832 103.64 131.052 108.638 71.427 131.508 67.941
84.201 91.158 146.49 128.234 78.007 39.061 49.201
62.118 90.684 109.119 92.929 80.446 55.83 58.496
95.88 98.494 127.017 99.058 60.996 45.957 49.252
73.526 90.722 112.979 83.203 76.593 47.973 50.856
83.225 137.115 116.523 102.059 77.758 62.635 56.157
71.336 135.175 124.509 92.059 70.903 80.998 34.895
75.065 122.654 145.828 95.032 91.196 58.991 50.928
85.123 96.832 121.378 77.753 105.679 61.935 65.057
76.232 126.369 113.238 84.272 104.18 114.911 47.525
90.524 107.4 166.357 95.879 109.548 73.375 57.81
74.796 124.104 143.194 86.412 95.642 106.622 53.544
82.322 137.172 163.885 90.656 113.022 95.594 50.912
95.935 158.44 137.411 81.121 111.858 83.384 46.618
91.409 146.76 146.877 77.929 98.857 70.315 56.678
