====================================================
Datos de la Colección de Cactáceas
====================================================

===============================================================
Datos generados por: Cristian Cervantes, Maestría en Ciencias Biológicas
                               JB-IBUNAM, Laboratorio de Cactáceas
===============================================================

"Local_1","Local_2","Local_3","Local_4","Local_5","Local_6","Local_7"
15.997,21.156,13.522,14.622,13.253,17.743,13.565
17.094,22.569,13.649,13.322,13.915,14.539,15.589
18.002,24.709,14.31,12.049,12.932,12.757,14.111
16.105,24.887,11.434,13.009,11.761,15.969,13.423
15.786,24.91,11.234,13.588,16.005,17.753,13.881
17.7,20.911,15.848,14.692,10.393,18.082,15.371
18.38,22.293,15.647,13.031,11.031,11.726,13.321
15.313,22.891,12.612,13.361,12.475,16.349,11.109
14.846,21.025,14.423,12.831,11.847,14.925,11.871
13.94,22.474,14.304,14.8,12.513,15.557,14.946
9.429,15.754,10.983,13.375,14.468,14.704,14.72
10.363,16.95,12.359,14.168,14.791,17.739,10.384
12.217,18.669,12.52,9.972,16.019,19.584,15.28
14.821,16.731,12.78,12.375,14.457,16.441,15.828
13.874,19.173,12.47,13.329,14.816,16.2,14.699
12.009,17.246,10.806,13.328,13.382,15.43,11.57
17.23,16.726,10.703,12.57,12.449,15.344,12.917
15.504,16.572,13.03,13.494,11.749,18.49,12.271
13.087,14.765,14.39,11.777,15.285,14.422,12.966
15.745,15.507,14.562,12.292,14.578,18.065,12.645
12.298,21.691,14.347,11.345,11.94,16.885,10.549
12.484,21.07,13.506,11.505,12.237,15.835,13.179
14.464,19.983,15.459,11.01,13.439,16.054,13.054
14.422,24.718,15.034,10.865,13.572,13.449,16.546
14.159,23.742,14.159,8.28,13.052,15.591,18.882
15.11,21.585,14.216,8.5,14.94,15.661,17.72
12.694,16.987,15.337,9.189,13.983,13.44,16.487
13.294,17.582,15.555,8.758,14.306,13.442,15.265
13.954,17.054,12.998,9.227,11.857,16.79,15.731
15.371,18.184,13.582,10.966,12.301,13.962,11.791
19.3,16.52,11.422,12.273,15.951,13.855,14.167
18.8,18.744,10.778,13.889,14.596,14.592,12.954
19.956,17.554,11.104,12.24,15.622,16.79,10.821
17.569,15.762,10.163,8.646,14.019,16.607,14.311
17.061,17.036,9.619,10.293,12.424,15.796,10.797
13.729,16.185,9.38,11.661,12.521,16.981,13.068
14.27,19.573,10.155,11.322,11.031,13.843,12.509
16.291,18.926,11.115,11.553,12.444,14.355,12.793
16.498,17.174,12.377,11.115,12.64,13.988,13.032
17.621,15.671,11.928,10.63,17.263,16.879,13.386
9.648,15.118,13.654,13.52,11.019,13.794,14.749
11.239,15.118,13.369,13.854,9.91,14.004,15.447
12.934,15.648,13.897,14.639,10.018,13.831,14.938
10.702,18.444,14.889,13.803,10.118,13.024,15.621
11.877,19.162,14.147,11.973,10.558,13.068,12.396
13.092,17.669,13.108,12.388,8.985,15.882,13.63
13.062,14.346,12.908,14.526,11.062,11.931,15.504
14.335,14.773,14.362,11.628,9.32,13.688,15.098
14.647,14.538,11.315,12.227,8.46,16.658,15.043
15.433,14.185,13.071,9.866,9.24,13.923,15.043
